"Player","CD #","BOSS HEALTH / SPELL","COUNT / HEALTH %","PLAYER/CLASS/ALL","TIME","COOLDOWN SPELL","","NPC NAME","ADDITIONAL TEXT","OVERRIDE TTS","CUSTOM NAME","CUSTOM ICON"
"","15","Health % (SPO)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (THO)","","","","","","Thok the Bloodthirsty","","","",""
"","2","Health % (THO)","","","","","","","","","",""
"","3","Health % (THO)","","","","","","","","","",""
"","4","Health % (THO)","","","","","","","","","",""
"","5","Health % (THO)","","","","","","","","","",""
"","6","Health % (THO)","","","","","","","","","",""
"","7","Health % (THO)","","","","","","","","","",""
"","8","Health % (THO)","","","","","","","","","",""
"","9","Health % (THO)","","","","","","","","","",""
"","10","Health % (THO)","","","","","","","","","",""
"","11","Health % (THO)","","","","","","","","","",""
"","12","Health % (THO)","","","","","","","","","",""
"","13","Health % (THO)","","","","","","","","","",""
"","14","Health % (THO)","","","","","","","","","",""
"","15","Health % (THO)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (BLA)","","","","","","Siegecrafter Blackfuse","","","",""
"","2","Health % (BLA)","","","","","","","","","",""
"","3","Health % (BLA)","","","","","","","","","",""
"","4","Health % (BLA)","","","","","","","","","",""
"","5","Health % (BLA)","","","","","","","","","",""
"","6","Health % (BLA)","","","","","","","","","",""
"","7","Health % (BLA)","","","","","","","","","",""
"","8","Health % (BLA)","","","","","","","","","",""
"","9","Health % (BLA)","","","","","","","","","",""
"","10","Health % (BLA)","","","","","","","","","",""
"","11","Health % (BLA)","","","","","","","","","",""
"","12","Health % (BLA)","","","","","","","","","",""
"","13","Health % (BLA)","","","","","","","","","",""
"","14","Health % (BLA)","","","","","","","","","",""
"","15","Health % (BLA)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","1","Health % (PAR)","","","","","","Paragons of the Klaxxi","","","",""
"","2","Health % (PAR)","","","","","","","","","",""
"","3","Health % (PAR)","","","","","","","","","",""
"","4","Health % (PAR)","","","","","","","","","",""
"","5","Health % (PAR)","","","","","","","","","",""
"","6","Health % (PAR)","","","","","","","","","",""
"","7","Health % (PAR)","","","","","","","","","",""
"","8","Health % (PAR)","","","","","","","","","",""
"","9","Health % (PAR)","","","","","","","","","",""
"","10","Health % (PAR)","","","","","","","","","",""
"","11","Health % (PAR)","","","","","","","","","",""
"","12","Health % (PAR)","","","","","","","","","",""
"","13","Health % (PAR)","","","","","","","","","",""
"","14","Health % (PAR)","","","","","","","","","",""
"","15","Health % (PAR)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
"","","Encounter Start (PAR)","1","ALL","175","Custom Spell Assignment","","","Save 3 mins","Save 3 mins","",""
"","","Health % (PAR)","100","PROTWARR1","1","Custom Spell Assignment","","","taunt korven","taunt korven","",""
"","","Health % (PAR)","100","PROTPALA1","1","Custom Spell Assignment","","","taunt karoz","taunt karoz","",""
"","","Reave","3","CDSHA1","1","Ancestral Guidance","","","","","",""
"","","Reave","3","CDSHA2","1","Ancestral Guidance","","","","","",""
"","","Reave","4","DPSWARR1","2","Demoralizing Banner","","","","","",""
"","","Reave","2","CDSHA1","3","Healing Tide Totem","","","","","",""
"","","Reave","3","CDSHA2","3","Healing Tide Totem","","","","","",""
"","","Xaril","1","RSHAM1","2","Bloodlust","","","","","",""
"","","Toxic Catalyst CD","1","ALL","8","Custom Spell Assignment","","","Personal","Personal","",""
"","","Toxic Catalyst CD","1","ALL","8","Custom Spell Assignment","","","Healthstone","Healthstone","","538745"
"","","Toxic Injection","1,6","PROTWARR1","-4","Custom Spell Assignment","","","eat injection","eat injection","",""
"","","Shield Bash","1","HOLYPRIEST1","0.1","Custom Spell Assignment","","","Barrier Tank","Barrier Tank","",""
"","","Shield Bash","2","HOLYPRIEST1","0.1","Custom Spell Assignment","","","Barrier Tank","Barrier Tank","",""
"","","Shield Bash","3","HOLYPRIEST1","0.1","Custom Spell Assignment","","","Barrier Tank","Barrier Tank","",""
"","","Shield Bash","4","SPRIEST1","0.1","Custom Spell Assignment","","","Barrier Tank","Barrier Tank","",""
"","","Insane Calculation: Fiery Edge","1","HOLYPRIEST1","-10","Spirit Shell","","","","","",""
"","","Insane Calculation: Fiery Edge","2","HOLYPRIEST1","-10","Spirit Shell","","","","","",""
"","","Insane Calculation: Fiery Edge","3","HOLYPRIEST1","-10","Spirit Shell","","","","","",""
"","","Insane Calculation: Fiery Edge","4","SPRIEST1","-10","Spirit Shell","","","","","",""
"","","Insane Calculation: Fiery Edge","4","PROTPALA1","1","Devotion Aura","","","","","",""
"","","Insane Calculation: Fiery Edge","1","CDSHA1","1","Ancestral Guidance","","","","","",""
"","","Insane Calculation: Fiery Edge","2","CDSHA2","1","Ancestral Guidance","","","","","",""
"","","Insane Calculation: Fiery Edge","5","HPALA1","2","Devotion Aura","","","","","",""
"","","Insane Calculation: Fiery Edge","2","RSHAM1","3","Healing Tide Totem","","","","","",""
"","","Insane Calculation: Fiery Edge","3","DPSWARR1","3","Rallying Cry","","","","","",""
"","","Insane Calculation: Fiery Edge","4","CDSHA1","3","Healing Tide Totem","","","","","",""
"","","Insane Calculation: Fiery Edge","5","BOOMIE1","3","Tranquility","","","","","",""
"","","Insane Calculation: Fiery Edge","4","BOOMIE1","3","Tranquility","","","","","",""
"","","Insane Calculation: Fiery Edge","-1","SHAMAN","5","Custom Spell Assignment","","","Healing Stream","Healing Stream","",""
"","","Insane Calculation: Fiery Edge","1,3,5","HOLYPRIEST1","5","Custom Spell Assignment","","","Halo","Halo","","632352"
"","","Insane Calculation: Fiery Edge","2,4,6","HOLYPRIEST1","5","Custom Spell Assignment","","","Halo","Halo","","632352"
"","","Insane Calculation: Fiery Edge","1,3,5","SPRIEST1","5","Custom Spell Assignment","","","Halo","Halo","","632352"
"","","Insane Calculation: Fiery Edge","2,4,6","HOLYPRIEST1","5","Custom Spell Assignment","","","Halo","Halo","","632352"
"","","Whirling","3,6,9","PROTWARR1","0.1","Demoralizing Banner","","","","","",""
"","","Whirling","4,7","DPSWARR1","0.1","Demoralizing Banner","","","","","",""
"","","Whirling","2,5,8","HPALA1","0.1","Devotion Aura","","","","","",""
"","","Whirling","1","RSHAM1","2","Healing Tide Totem","","","","","",""
"","","Whirling","4","CDSHA2","2","Healing Tide Totem","","","","","",""
"","","Whirling","6","CDSHA1","2","Ancestral Guidance","","","","","",""
"","","Whirling","7","CDSHA2","2","Ancestral Guidance","","","","","",""
"","","Whirling","5","HOLYPRIEST1","2","Custom Spell Assignment","","","Barrier Tank","Barrier Tank","",""
"","","Whirling","6","HOLYPRIEST1","2","Custom Spell Assignment","","","Barrier Tank","Barrier Tank","",""
"","","Whirling","4,7","DPSWARR1","3","Rallying Cry","","","","","",""
"","","Whirling","3,6,9","DPSWARR1","3","Rallying Cry","","","","","",""
"","","Whirling","8","DPSWARR1","3","Rallying Cry","","","","","",""
"","","Whirling","6","HOLYPRIEST1","12","Custom Spell Assignment","","","Barrier Tank","Barrier Tank","",""
"","","Whirling","6","SPRIEST1","22","Custom Spell Assignment","","","Barrier Tank","Barrier Tank","",""
"","","Hurl Amber","2","ALL","-2","Custom Spell Assignment","","","Personal","Personal","",""
"","","Hurl Amber","1","PROTPALA1","1","Devotion Aura","","","","","",""
"","","Hurl Amber","7","PROTPALA1","1","Devotion Aura","","","","","",""
"","","Hurl Amber","7","RSHAM1","1","Healing Tide Totem","","","","","",""
"","","Hurl Amber","8","RSHAM1","1","Healing Tide Totem","","","","","",""
"","","Hurl Amber","1","RANGEDDPS","2","Custom Spell Assignment","","","Healthstone","Healthstone","","538745"
"","","Hurl Amber","1","RSHAM1","2","Healing Tide Totem","","","","","",""
"","","Mutate","4","ALL","-10","Custom Spell Assignment","","","Wait for Mutate","Wait for Mutate","",""
"","","Mutate","1","CDSHA1","-3","Ancestral Guidance","","","","","",""
"","","Mutate","2","CDSHA2","-3","Ancestral Guidance","","","","","",""
"","","Mutate","3","ROGUE1","-2","Smoke Bomb","","","","","",""
"","","Mutate","1","CDSHA1","2","Healing Tide Totem","","","","","",""
"","","Mutate","2","CDSHA2","2","Healing Tide Totem","","","","","",""
"","1","Health % (GAR)","","","","","","Garrosh Hellscream","","","",""
"","2","Health % (GAR)","","","","","","","","","",""
"","3","Health % (GAR)","","","","","","","","","",""
"","4","Health % (GAR)","","","","","","","","","",""
"","5","Health % (GAR)","","","","","","","","","",""
"","6","Health % (GAR)","","","","","","","","","",""
"","7","Health % (GAR)","","","","","","","","","",""
"","8","Health % (GAR)","","","","","","","","","",""
"","9","Health % (GAR)","","","","","","","","","",""
"","10","Health % (GAR)","","","","","","","","","",""
"","11","Health % (GAR)","","","","","","","","","",""
"","12","Health % (GAR)","","","","","","","","","",""
"","13","Health % (GAR)","","","","","","","","","",""
"","14","Health % (GAR)","","","","","","","","","",""
"","15","Health % (GAR)","","","","","","","","","",""
"","","","","","","","","LEAVE BLANK","","","",""
"","","","COUNT","","","","","","","","",""
